col1 cm,col2 km,col3 grados
0.064702635,34.2507005,0.23722497
0.396845123,94.1938478,0.472566161
0.945501748,88.95809995,0.31048529
0.594059763,6.035598807,0.711504751
0.250566149,0.284931142,0.226075121
0.409981335,99.79297412,0.212885405
0.224495241,99.60276757,0.943558833
0.669428578,42.19296014,0.338902808
0.61160741,81.72049964,0.563446854
0.938799198,14.03600577,0.317194435
0.952009497,5.72692024,0.58155523
0.595379066,38.99607317,0.042034408
0.829584974,80.38839572,0.259919448
0.491510802,95.45697451,0.17169855
